lat,lon360,lon180,pixelkm2
32.545,240.445,-119.555,21.08820619
32.545,240.49,-119.51,21.08820619
32.545,240.535,-119.465,21.08820619
32.545,240.58,-119.42,21.08820619
32.545,240.625,-119.375,21.08820619
32.545,240.67,-119.33,21.08820619
32.545,240.715,-119.285,21.08820619
32.545,240.76,-119.24,21.08820619
32.545,240.805,-119.195,21.08820619
32.545,240.85,-119.15,21.08820619
32.545,240.895,-119.105,21.08820619
32.545,240.94,-119.06,21.08820619
32.545,240.985,-119.015,21.08820619
32.545,241.03,-118.97,21.08820619
32.545,241.075,-118.925,21.08820619
32.545,241.12,-118.88,21.08820619
32.545,241.165,-118.835,21.08820619
32.545,241.21,-118.79,21.08820619
32.545,241.255,-118.745,21.08820619
32.545,241.3,-118.7,21.08820619
32.545,241.345,-118.655,21.08820619
32.545,241.39,-118.61,21.08820619
32.545,241.435,-118.565,21.08820619
32.545,241.48,-118.52,21.08820619
32.545,241.525,-118.475,21.08820619
32.545,241.57,-118.43,21.08820619
32.545,241.615,-118.385,21.08820619
32.545,241.66,-118.34,21.08820619
32.545,241.705,-118.295,21.08820619
32.545,241.75,-118.25,21.08820619
32.545,241.795,-118.205,21.08820619
32.545,241.84,-118.16,21.08820619
32.545,241.885,-118.115,21.08820619
32.545,241.93,-118.07,21.08820619
32.545,241.975,-118.025,21.08820619
32.59,235,-125,21.07782223
32.59,235.045,-124.955,21.07782223
32.59,235.09,-124.91,21.07782223
32.59,235.135,-124.865,21.07782223
32.59,235.18,-124.82,21.07782223
32.59,235.225,-124.775,21.07782223
32.59,235.27,-124.73,21.07782223
32.59,235.315,-124.685,21.07782223
32.59,235.36,-124.64,21.07782223
32.59,235.405,-124.595,21.07782223
32.59,235.45,-124.55,21.07782223
32.59,235.495,-124.505,21.07782223
32.59,235.54,-124.46,21.07782223
32.59,235.585,-124.415,21.07782223
32.59,235.63,-124.37,21.07782223
32.59,235.675,-124.325,21.07782223
32.59,235.72,-124.28,21.07782223
32.59,235.765,-124.235,21.07782223
32.59,235.81,-124.19,21.07782223
32.59,235.855,-124.145,21.07782223
32.59,235.9,-124.1,21.07782223
32.59,235.945,-124.055,21.07782223
32.59,235.99,-124.01,21.07782223
32.59,236.035,-123.965,21.07782223
32.59,236.08,-123.92,21.07782223
32.59,236.125,-123.875,21.07782223
32.59,236.17,-123.83,21.07782223
32.59,236.215,-123.785,21.07782223
32.59,236.26,-123.74,21.07782223
32.59,236.305,-123.695,21.07782223
32.59,236.35,-123.65,21.07782223
32.59,236.395,-123.605,21.07782223
32.59,236.44,-123.56,21.07782223
32.59,236.485,-123.515,21.07782223
32.59,236.53,-123.47,21.07782223
32.59,236.575,-123.425,21.07782223
32.59,236.62,-123.38,21.07782223
32.59,236.665,-123.335,21.07782223
32.59,236.71,-123.29,21.07782223
32.59,236.755,-123.245,21.07782223
32.59,236.8,-123.2,21.07782223
32.59,236.845,-123.155,21.07782223
32.59,236.89,-123.11,21.07782223
32.59,236.935,-123.065,21.07782223
32.59,236.98,-123.02,21.07782223
32.59,237.025,-122.975,21.07782223
32.59,237.07,-122.93,21.07782223
32.59,237.115,-122.885,21.07782223
32.59,237.16,-122.84,21.07782223
32.59,237.205,-122.795,21.07782223
32.59,237.25,-122.75,21.07782223
32.59,237.295,-122.705,21.07782223
32.59,237.34,-122.66,21.07782223
32.59,237.385,-122.615,21.07782223
