"V1","V2"
241.2,32.72
241.245,32.72
241.29,32.72
241.335,32.72
241.38,32.72
241.425,32.72
241.47,32.72
241.515,32.72
241.56,32.72
241.605,32.72
241.65,32.72
241.695,32.72
241.74,32.72
241.785,32.72
241.83,32.72
241.875,32.72
241.92,32.72
241.965,32.72
242.01,32.72
242.055,32.72
242.1,32.72
242.145,32.72
242.19,32.72
242.235,32.72
242.28,32.72
242.325,32.72
242.37,32.72
242.415,32.72
242.46,32.72
242.505,32.72
242.55,32.72
242.595,32.72
242.64,32.72
242.685,32.72
242.73,32.72
242.775,32.72
242.82,32.72
242.865,32.72
242.91,32.72
242.955,32.72
243,32.72
239.175,32.765
239.22,32.765
239.265,32.765
239.31,32.765
239.355,32.765
239.4,32.765
239.445,32.765
239.49,32.765
239.535,32.765
239.58,32.765
239.625,32.765
239.67,32.765
239.715,32.765
239.76,32.765
239.805,32.765
239.85,32.765
239.895,32.765
239.94,32.765
239.985,32.765
240.03,32.765
240.075,32.765
240.12,32.765
240.165,32.765
240.21,32.765
240.255,32.765
240.3,32.765
240.345,32.765
240.39,32.765
240.435,32.765
240.48,32.765
240.525,32.765
240.57,32.765
240.615,32.765
240.66,32.765
240.705,32.765
240.75,32.765
240.795,32.765
240.84,32.765
240.885,32.765
240.93,32.765
240.975,32.765
241.02,32.765
241.065,32.765
241.11,32.765
241.155,32.765
241.2,32.765
241.245,32.765
241.29,32.765
241.335,32.765
241.38,32.765
241.425,32.765
241.47,32.765
241.515,32.765
241.56,32.765
241.605,32.765
241.65,32.765
241.695,32.765
241.74,32.765
241.785,32.765
241.83,32.765
241.875,32.765
241.92,32.765
241.965,32.765
242.01,32.765
242.055,32.765
242.1,32.765
242.145,32.765
242.19,32.765
242.235,32.765
242.28,32.765
242.325,32.765
242.37,32.765
242.415,32.765
242.46,32.765
242.505,32.765
242.55,32.765
242.595,32.765
242.64,32.765
242.685,32.765
242.73,32.765
242.775,32.765
242.82,32.765
242.865,32.765
242.91,32.765
242.955,32.765
243,32.765
238.95,32.81
238.995,32.81
239.04,32.81
239.085,32.81
239.13,32.81
239.175,32.81
239.22,32.81
239.265,32.81
239.31,32.81
239.355,32.81
239.4,32.81
239.445,32.81
239.49,32.81
239.535,32.81
239.58,32.81
239.625,32.81
239.67,32.81
239.715,32.81
239.76,32.81
239.805,32.81
239.85,32.81
239.895,32.81
239.94,32.81
239.985,32.81
240.03,32.81
240.075,32.81
240.12,32.81
240.165,32.81
240.21,32.81
240.255,32.81
240.3,32.81
240.345,32.81
240.39,32.81
240.435,32.81
240.48,32.81
240.525,32.81
240.57,32.81
240.615,32.81
240.66,32.81
240.705,32.81
240.75,32.81
240.795,32.81
240.84,32.81
240.885,32.81
240.93,32.81
240.975,32.81
241.02,32.81
241.065,32.81
241.11,32.81
241.155,32.81
241.2,32.81
241.245,32.81
241.29,32.81
241.335,32.81
241.38,32.81
241.425,32.81
241.47,32.81
241.515,32.81
241.56,32.81
241.605,32.81
241.65,32.81
241.695,32.81
241.74,32.81
241.785,32.81
241.83,32.81
241.875,32.81
241.92,32.81
241.965,32.81
242.01,32.81
242.055,32.81
242.1,32.81
242.145,32.81
242.19,32.81
242.235,32.81
242.28,32.81
242.325,32.81
242.37,32.81
242.415,32.81
242.46,32.81
242.505,32.81
242.55,32.81
242.595,32.81
242.64,32.81
242.685,32.81
242.73,32.81
242.775,32.81
242.82,32.81
242.865,32.81
242.91,32.81
242.955,32.81
243,32.81
238.77,32.855
238.815,32.855
238.86,32.855
238.905,32.855
238.95,32.855
238.995,32.855
239.04,32.855
239.085,32.855
239.13,32.855
239.175,32.855
239.22,32.855
239.265,32.855
239.31,32.855
239.355,32.855
239.4,32.855
239.445,32.855
239.49,32.855
239.535,32.855
239.58,32.855
239.625,32.855
239.67,32.855
239.715,32.855
239.76,32.855
239.805,32.855
239.85,32.855
239.895,32.855
239.94,32.855
239.985,32.855
240.03,32.855
240.075,32.855
240.12,32.855
240.165,32.855
240.21,32.855
240.255,32.855
240.3,32.855
240.345,32.855
240.39,32.855
240.435,32.855
240.48,32.855
240.525,32.855
240.57,32.855
240.615,32.855
240.66,32.855
240.705,32.855
240.75,32.855
240.795,32.855
240.84,32.855
240.885,32.855
240.93,32.855
240.975,32.855
241.02,32.855
241.065,32.855
241.11,32.855
241.155,32.855
241.2,32.855
241.245,32.855
241.29,32.855
241.335,32.855
241.38,32.855
241.425,32.855
241.47,32.855
241.515,32.855
241.56,32.855
241.605,32.855
241.65,32.855
241.695,32.855
241.74,32.855
241.785,32.855
241.83,32.855
241.875,32.855
241.92,32.855
241.965,32.855
242.01,32.855
242.055,32.855
242.1,32.855
242.145,32.855
242.19,32.855
242.235,32.855
242.28,32.855
242.325,32.855
242.37,32.855
242.415,32.855
242.46,32.855
242.505,32.855
242.55,32.855
242.595,32.855
242.64,32.855
242.685,32.855
242.73,32.855
242.775,32.855
242.82,32.855
242.865,32.855
242.91,32.855
242.955,32.855
243,32.855
238.545,32.9
238.59,32.9
238.635,32.9
238.68,32.9
238.725,32.9
238.77,32.9
238.815,32.9
238.86,32.9
238.905,32.9
238.95,32.9
238.995,32.9
239.04,32.9
239.085,32.9
239.13,32.9
239.175,32.9
239.22,32.9
239.265,32.9
239.31,32.9
239.355,32.9
239.4,32.9
239.445,32.9
239.49,32.9
239.535,32.9
239.58,32.9
239.625,32.9
239.67,32.9
239.715,32.9
239.76,32.9
239.805,32.9
239.85,32.9
239.895,32.9
239.94,32.9
239.985,32.9
240.03,32.9
240.075,32.9
240.12,32.9
240.165,32.9
240.21,32.9
240.255,32.9
240.3,32.9
240.345,32.9
240.39,32.9
240.435,32.9
240.48,32.9
240.525,32.9
